review_id,product_id,user_id,rating,review_text,review_date
R00522,SP001,U000300,1,배터리 소모가 너무 빨라 하루 종일 사용하기 어려웠습니다. 디스플레이 색상이 부자연스러워 영상 감상이 불편합니다.,2025-05-14
R00738,SP001,U000303,2,무선 충전 중 발열이 심해 기기 안전이 우려됩니다. 외관 마감이 불량해 몇 주 만에 멍이나 스크래치가 생겼습니다. 내장 스피커가 작고 음질이 탁해 통화 시 상대방 목소리가 잘 들리지 않습니다. 배터리 소모가 너무 빨라 하루 종일 사용하기 어려웠습니다.,2025-06-04
R00741,SP001,U000225,1,카메라 초점이 자주 흔들려 중요한 순간을 놓치는 경우가 많았습니다. 앱 전환 시 잦은 렉 현상이 발생해 작업 효율이 떨어집니다. 지문 인식 오류가 잦아 비밀번호 입력보다 더 번거롭게 느껴집니다.,2024-09-27
R00661,SP001,U000081,2,외관 마감이 불량해 몇 주 만에 멍이나 스크래치가 생겼습니다. 제품 무게가 무거워 장시간 사용 시 손목에 부담이 느껴집니다. 앱 전환 시 잦은 렉 현상이 발생해 작업 효율이 떨어집니다.,2024-09-17
R00412,SP001,U000447,5,배터리 사용 시간이 하루 종일 거뜬해서 외출 시 충전 걱정이 없습니다. 성능이 뛰어나 여러 앱을 동시에 실행해도 버벅임이 전혀 없습니다. 디스플레이 색 재현력이 우수해 영상 감상 시 몰입도가 높습니다. 무선 충전 기능이 안정적이고 충전 속도도 만족스럽습니다.,2025-03-22
R00679,SP001,U000256,2,카메라 초점이 자주 흔들려 중요한 순간을 놓치는 경우가 많았습니다. 무선 충전 중 발열이 심해 기기 안전이 우려됩니다.,2025-01-10
R00627,SP001,U000437,2,디스플레이 색상이 부자연스러워 영상 감상이 불편합니다. 제품 무게가 무거워 장시간 사용 시 손목에 부담이 느껴집니다. 카메라 초점이 자주 흔들려 중요한 순간을 놓치는 경우가 많았습니다. 배터리 소모가 너무 빨라 하루 종일 사용하기 어려웠습니다.,2024-09-03
R00514,SP001,U000387,1,앱 전환 시 잦은 렉 현상이 발생해 작업 효율이 떨어집니다. 디스플레이 색상이 부자연스러워 영상 감상이 불편합니다. 제품 무게가 무거워 장시간 사용 시 손목에 부담이 느껴집니다.,2024-09-30
R00860,SP001,U000230,2,소프트웨어 업데이트 후 배터리 효율이 크게 저하되었습니다. 카메라 초점이 자주 흔들려 중요한 순간을 놓치는 경우가 많았습니다. 제품 무게가 무거워 장시간 사용 시 손목에 부담이 느껴집니다.,2025-05-07
R00137,SP001,U000339,5,성능이 뛰어나 여러 앱을 동시에 실행해도 버벅임이 전혀 없습니다. 지문 인식 속도가 매우 빨라 잠금 해제 시간이 거의 느껴지지 않습니다. 디자인이 세련되고 그립감이 뛰어나 한 손으로 사용하기 편리합니다.,2025-01-31
